"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 15","11.62","12.88","12.99","11.43","4.98M","-10.62%"
"Dec 15","10.79","11.63","11.76","9.13","3.01M","-7.14%"
"Jan 16","10.15","10.66","10.66","8.66","3.08M","-5.93%"
"Feb 16","10.34","10.22","11.07","9.54","4.51M","1.87%"
"Mar 16","12.18","10.34","12.78","10.12","5.82M","17.79%"
"Apr 16","12.30","12.29","12.79","11.49","4.72M","0.99%"
"May 16","11.51","12.47","13.05","11.44","5.35M","-6.42%"
"Jun 16","13.10","11.51","13.10","11.20","5.95M","13.81%"
"Jul 16","15.70","13.06","15.83","12.84","13.98M","19.85%"
"Aug 16","15.14","15.70","15.81","14.43","10.44M","-3.57%"
"Sep 16","15.12","15.08","15.53","14.50","7.50M","-0.13%"
"Oct 16","17.38","15.13","17.58","14.92","11.26M","14.95%"
"Nov 16","15.36","17.30","17.41","14.09","9.40M","-11.62%"
"Dec 16","15.99","15.38","15.99","14.52","7.84M","4.10%"
"Jan 17","17.28","15.80","17.48","15.72","6.44M","8.07%"
"Feb 17","18.60","17.30","19.03","17.15","7.96M","7.64%"
"Mar 17","19.16","18.73","19.23","17.56","10.67M","3.01%"
"Apr 17","18.11","19.16","19.40","17.52","30.36M","-5.48%"
"May 17","17.10","18.18","18.56","15.37","23.56M","-5.58%"
"Jun 17","17.38","17.21","17.38","16.41","11.65M","1.64%"
"Jul 17","17.62","17.36","17.89","16.95","13.49M","1.38%"
"Aug 17","17.97","17.59","18.07","17.20","11.61M","1.99%"
"Sep 17","18.04","17.95","18.69","17.63","15.04M","0.39%"
"Oct 17","17.34","18.04","18.17","17.12","12.39M","-3.88%"
"Nov 17","16.64","17.37","17.53","16.45","12.83M","-4.04%"
"Dec 17","17.73","16.55","17.73","16.44","10.36M","6.55%"
"Jan 18","17.82","17.73","17.93","16.73","19.76M","0.51%"
"Feb 18","17.69","17.85","18.03","17.21","10.59M","-0.73%"
"Mar 18","17.36","17.59","17.64","16.82","12.39M","-1.87%"
"Apr 18","17.24","17.25","17.43","16.76","7.65M","-0.69%"
"May 18","15.47","17.22","17.22","15.15","15.51M","-10.27%"
"Jun 18","15.05","15.48","15.77","14.45","16.05M","-2.71%"
"Jul 18","16.19","15.08","16.28","14.97","7.66M","7.57%"
"Aug 18","15.05","16.18","16.66","15.00","12.90M","-7.04%"
"Sep 18","15.70","15.03","15.86","14.47","19.46M","4.32%"
"Oct 18","17.33","15.61","17.53","15.35","17.62M","10.38%"
"Nov 18","18.12","17.29","18.81","17.29","9.03M","4.56%"
"Dec 18","18.33","18.28","18.73","17.56","6.65M","1.16%"
"Jan 19","21.14","18.13","21.63","17.55","16.45M","15.33%"
"Feb 19","22.41","21.21","22.49","20.63","15.11M","6.01%"
"Mar 19","22.77","22.51","23.88","21.18","13.21M","1.61%"
"Apr 19","23.36","22.82","23.55","21.84","11.63M","2.59%"
"May 19","24.38","23.08","24.38","21.43","21.35M","4.37%"
"Jun 19","25.85","24.50","25.96","24.22","17.23M","6.03%"
"Jul 19","26.51","26.01","27.49","25.09","13.13M","2.55%"
"Aug 19","25.99","26.51","27.79","24.76","15.99M","-1.96%"
"Sep 19","25.29","26.00","26.50","24.54","12.46M","-2.69%"
"Oct 19","24.27","25.30","25.67","24.11","16.12M","-4.03%"
"Nov 19","26.00","24.34","26.15","23.43","19.20M","7.13%"
"Dec 19","27.60","26.13","28.28","25.77","13.48M","6.15%"
"Jan 20","29.58","27.75","30.56","27.39","13.81M","7.17%"
"Feb 20","28.20","29.69","30.71","26.53","10.34M","-4.67%"
"Mar 20","21.83","28.20","30.00","19.56","638.10K","-22.58%"
"Apr 20","22.61","22.06","24.99","20.99","1.70M","3.56%"
"May 20","24.87","22.21","25.55","21.52","778.70K","10.00%"
"Jun 20","23.97","24.72","25.86","23.31","1.95M","-3.62%"
"Jul 20","24.15","24.00","25.04","23.45","1.07M","0.75%"
"Aug 20","23.43","24.37","24.99","23.13","1.11M","-2.98%"
"Sep 20","23.15","23.52","24.57","23.03","2.17M","-1.20%"
"Oct 20","22.81","23.21","24.05","22.61","576.00K","-1.47%"